Date,Funding Rate,Prime Rate,Retail Rate,Sub-prime Rate
2019-01-01,1.49,2.7,4.69,7.77
2019-01-02,1.84,2.82,4.64,8.06
2019-01-03,1.69,2.92,4.61,8.08
2019-01-04,1.57,3.01,4.7,8.04
2019-01-05,1.3,2.94,5.05,7.95
2019-01-06,1.13,2.78,5.2,7.84
2019-01-07,1.03,2.67,5.3,7.78
2019-01-08,1.05,2.51,5.36,7.85
2019-01-09,1.22,2.52,5.31,8.1
2019-01-10,1.22,2.56,5.36,8.2
2019-01-11,1.1,2.61,5.45,8.21
2019-01-12,0.98,2.62,5.47,8.26
2019-01-13,0.9,2.64,5.5,8.16
2019-01-14,0.87,2.63,5.41,8.1
2019-01-15,0.82,2.58,5.32,7.95
2019-01-16,0.87,2.6,5.24,7.75
2019-01-17,0.9,2.68,5.17,7.63
2019-01-18,0.96,2.74,5.16,7.53
2019-01-19,1.01,2.85,5.14,7.65
2019-01-20,1.06,2.97,5.17,7.73
2019-01-21,1.07,3.07,5.19,7.83
2019-01-22,1.08,3.18,5.19,8.0
2019-01-23,1.08,3.22,5.18,8.23
2019-01-24,1.0,3.22,5.13,8.39
2019-01-25,0.93,3.22,5.15,8.47
2019-01-26,0.84,3.2,5.21,8.48
2019-01-27,0.82,3.21,5.28,8.44
2019-01-28,0.79,3.2,5.33,8.31
2019-01-29,0.75,3.14,5.34,8.21
2019-01-30,0.75,3.09,5.3,8.13
2019-01-31,0.75,3.09,5.27,8.09
2019-02-01,0.75,3.05,5.28,8.16
2019-02-02,0.73,3.0,5.29,8.16
2019-02-03,0.73,2.92,5.31,8.07
2019-02-04,0.76,2.91,5.4,7.91
2019-02-05,0.75,2.92,5.51,7.77
2019-02-06,0.73,2.95,5.56,7.58
2019-02-07,0.72,2.98,5.61,7.43
2019-02-08,0.74,3.03,5.58,7.36
2019-02-09,0.76,3.06,5.57,7.29
2019-02-10,0.77,3.07,5.52,7.24
2019-02-11,0.74,3.02,5.43,7.29
2019-02-12,0.68,2.97,5.36,7.46
2019-02-13,0.65,2.93,5.34,7.57
2019-02-14,0.62,2.9,5.27,7.51
2019-02-15,0.6,2.82,5.22,7.46
2019-02-16,0.63,2.8,5.17,7.49
2019-02-17,0.62,2.83,5.21,7.61
2019-02-18,0.62,2.88,5.3,7.78
2019-02-19,0.63,2.92,5.41,7.99
2019-02-20,0.67,2.93,5.49,8.08
2019-02-21,0.71,2.95,5.51,8.08
2019-02-22,0.73,2.97,5.52,7.96
2019-02-23,0.73,2.96,5.47,7.83
2019-02-24,0.73,2.97,5.42,7.84
2019-02-25,0.71,2.96,5.39,7.96
2019-02-26,0.71,2.94,5.35,8.1
2019-02-27,0.7,2.91,5.32,8.11
2019-02-28,0.69,2.93,5.35,8.03
2019-03-01,0.72,2.93,5.36,8.01
2019-03-02,0.74,2.95,5.37,7.96
2019-03-03,0.76,2.95,5.39,7.97
2019-03-04,0.74,2.99,5.39,7.9
2019-03-05,0.72,2.98,5.37,7.83
2019-03-06,0.68,2.98,5.34,7.86
2019-03-07,0.66,2.97,5.31,7.87
2019-03-08,0.65,2.99,5.29,7.88
2019-03-09,0.65,3.0,5.28,7.81
2019-03-10,0.64,3.01,5.3,7.77
2019-03-11,0.62,3.04,5.28,7.65
2019-03-12,0.63,3.05,5.22,7.54
2019-03-13,0.63,3.03,5.18,7.47
2019-03-14,0.63,2.99,5.15,7.44
2019-03-15,0.66,2.98,5.12,7.48
2019-03-16,0.68,2.97,5.1,7.56
2019-03-17,0.67,2.98,5.07,7.71
2019-03-18,0.69,2.99,5.04,7.79
2019-03-19,0.68,2.98,5.02,7.87
2019-03-20,0.65,2.99,5.08,7.9
2019-03-21,0.63,3.02,5.13,7.83
2019-03-22,0.62,3.04,5.16,7.81
2019-03-23,0.6,3.04,5.17,7.72
2019-03-24,0.6,3.01,5.17,7.69
2019-03-25,0.63,2.97,5.16,7.72
2019-03-26,0.69,2.92,5.13,7.73
2019-03-27,0.7,2.9,5.15,7.74
2019-03-28,0.71,2.92,5.15,7.81
2019-03-29,0.72,2.91,5.14,7.76
2019-03-30,0.75,2.95,5.09,7.73
2019-03-31,0.77,2.99,5.03,7.71
2019-04-01,0.77,3.01,4.95,7.78
2019-04-02,0.76,3.05,4.89,7.77
2019-04-03,0.78,3.08,4.83,7.71
2019-04-04,0.82,3.13,4.81,7.73
2019-04-05,0.84,3.16,4.83,7.73
2019-04-06,0.84,3.2,4.88,7.63
2019-04-07,0.81,3.25,4.88,7.65
2019-04-08,0.79,3.26,4.87,7.76
2019-04-09,0.81,3.26,4.88,7.97
2019-04-10,0.84,3.23,4.91,8.12
2019-04-11,0.84,3.17,4.92,8.22
2019-04-12,0.85,3.12,4.98,8.23
2019-04-13,0.86,3.08,5.0,8.18
2019-04-14,0.88,3.04,5.01,8.04
2019-04-15,0.92,3.0,5.04,7.91
2019-04-16,0.97,2.97,5.11,7.81
2019-04-17,1.0,2.95,5.16,7.74
2019-04-18,1.02,2.96,5.2,7.79
2019-04-19,1.04,3.0,5.17,7.84
2019-04-20,1.06,3.05,5.1,7.91
2019-04-21,1.07,3.06,5.08,8.0
2019-04-22,1.07,3.08,5.09,8.09
2019-04-23,1.09,3.07,5.11,8.08
2019-04-24,1.11,3.07,5.13,8.0
2019-04-25,1.12,3.04,5.19,7.81
2019-04-26,1.12,3.04,5.19,7.68
2019-04-27,1.13,3.05,5.17,7.63
2019-04-28,1.13,3.06,5.14,7.54
2019-04-29,1.11,3.05,5.13,7.38
2019-04-30,1.09,3.05,5.14,7.22
2019-05-01,1.09,3.05,5.19,7.13
2019-05-02,1.11,3.06,5.25,7.26
2019-05-03,1.11,3.06,5.31,7.37
2019-05-04,1.12,3.07,5.39,7.37
2019-05-05,1.11,3.07,5.45,7.25
2019-05-06,1.11,3.07,5.47,7.21
2019-05-07,1.14,3.05,5.48,7.12
2019-05-08,1.17,3.06,5.5,7.06
2019-05-09,1.21,3.07,5.55,7.04
2019-05-10,1.23,3.08,5.59,7.02
2019-05-11,1.25,3.09,5.62,7.0
2019-05-12,1.28,3.09,5.65,6.98
2019-05-13,1.27,3.08,5.68,6.94
2019-05-14,1.23,3.07,5.71,6.93
2019-05-15,1.2,3.06,5.7,7.02
